s0,s10,s90,s90d,red_flag
36,26,12,1,0
93,65,86,14,0
54,46,20,0,0
16,14,0,0,0
92,76,65,8,0
112,89,155,18,0
96,94,132,11,0
22,21,8,0,0
106,73,117,19,0
117,77,89,13,0
21,15,10,0,0
107,85,100,28,0
121,77,125,16,0
100,80,78,12,0
83,71,71,7,0
112,93,112,21,0
102,73,94,17,0
104,79,97,20,0
87,75,81,14,0
112,79,131,21,0
86,65,62,13,0
95,64,88,10,0
104,73,118,9,0
94,71,72,14,0
95,66,61,8,0
98,73,84,12,0
93,73,93,5,0
70,64,82,8,0
37,34,12,0,0
102,74,103,9,0
89,80,70,0,0
106,70,123,24,0
97,75,62,11,0
41,33,5,0,0
110,87,126,17,0
98,94,87,17,0
104,77,117,18,0
111,76,100,17,0
88,64,61,13,0
88,58,77,10,0
87,63,44,7,0
101,72,86,9,0
104,72,76,13,0
82,66,55,14,0
106,80,122,30,0
103,77,130,8,0
83,40,23,4,0
101,74,75,10,0
89,65,53,8,0
91,71,88,10,0
104,71,89,7,0
26,27,4,0,0
88,64,54,7,0
121,106,92,10,0
19,12,6,2,0
112,83,120,9,0
89,40,17,1,0
118,77,109,14,0
101,87,80,12,0
81,64,76,6,0
100,74,104,13,0
94,69,70,12,0
89,72,53,5,0
99,72,119,14,0
91,77,84,9,0
68,44,36,138,1
124,252,249,248,1
93,76,82,18,0
40,30,12,0,0
97,70,81,10,0
44,28,13,1,0
108,91,141,17,0
84,69,60,14,0
101,75,84,9,0
91,53,16,0,0
97,75,88,11,0
61,28,4,1,0
95,73,60,10,0
84,40,21,0,0
43,32,2,0,0
89,76,79,8,0
47,25,13,0,0
102,85,116,9,0
54,42,12,0,0
106,74,81,5,0
112,89,98,24,0
95,82,76,23,0
91,93,103,14,0
39,30,6,0,0
100,70,63,8,0
85,71,56,9,0
98,85,103,13,0
83,67,62,3,0
106,83,95,17,0
99,78,69,3,0
101,65,105,11,0
100,77,101,5,0
113,79,122,26,0
103,76,66,9,0
34,25,6,0,0
118,88,137,20,0
110,81,128,24,0
95,74,69,10,0
94,58,78,9,0
104,93,108,10,0
114,71,93,13,0
93,64,73,11,0
37,30,9,5,0
84,68,70,7,0
46,30,14,2,0
45,32,11,0,0
112,79,109,18,0
87,66,63,3,0
97,89,79,11,0
178,102,249,96,1
89,76,86,14,0
97,74,74,8,0
100,68,64,14,0
