s0,s10,s90,s90d
43,37,9,4
97,43,27,4
88,80,84,17
101,70,111,11
34,31,7,0
57,43,9,0
102,78,93,26
39,31,6,2
75,79,96,62
10,12,3,2
110,84,87,22
34,32,6,0
120,62,103,11
111,80,116,16
19,24,6,0
37,36,9,0
44,32,9,0
98,74,105,14
38,27,14,0
52,42,15,0
41,34,6,1
101,49,100,6
68,37,16,5
92,56,30,4
34,38,7,0
33,24,13,8
51,31,10,2
110,67,72,13
45,38,9,2
33,28,5,0
88,68,56,8
34,41,12,3
110,79,81,13
101,63,85,8
95,75,110,26
109,73,89,6
29,14,13,3
93,81,85,14
40,32,10,0
76,42,31,7
50,40,6,3
99,78,59,6
61,85,119,83
37,28,3,0
84,71,75,13
95,48,22,3
97,78,60,9
79,77,100,61
45,28,12,5
112,74,96,21
31,31,5,6
89,54,32,3
94,79,82,12
71,70,51,34
93,74,69,6
100,75,102,19
12,14,14,0
43,36,7,5
30,22,14,4
106,72,89,11
109,77,109,10
87,37,20,2
103,94,102,21
41,33,5,0
99,94,129,15
100,72,124,30
94,82,71,7
86,66,55,9
48,35,15,1
90,60,83,8
113,92,75,10
104,83,91,20
46,39,11,5
93,86,105,14
53,39,8,0
70,82,75,44
103,80,97,10
50,30,18,2
105,81,117,6
34,25,7,0
106,72,95,7
41,30,12,0
45,36,9,0
19,24,11,0
28,26,4,6
96,71,93,6
109,71,135,37
115,68,114,22
40,26,9,2
42,33,14,4
93,54,23,4
27,25,8,0
69,38,16,2
103,76,84,7
111,70,87,14
106,74,97,21
36,31,12,0
80,73,48,31
99,46,18,0
73,50,23,2
36,30,6,2
90,89,104,7
91,72,63,6
100,91,97,7
95,72,99,18
101,75,77,8
51,33,11,0
36,26,7,5
69,61,44,1
44,32,10,0
102,71,115,19
13,27,4,0
93,51,22,0
49,45,11,1
97,89,107,28
105,67,79,13
113,85,134,23
29,24,4,1
31,34,8,2
111,76,151,16
105,66,89,4
58,46,7,2
101,48,26,6
82,77,91,53
101,66,69,17
91,88,121,21
168,93,133,11
100,95,98,23
86,70,71,35
109,65,88,15
95,64,66,7
92,67,75,12
99,74,66,4
35,34,6,2
104,83,86,13
63,42,17,0
102,62,84,13
98,82,63,9
99,68,67,16
101,84,91,12
94,64,80,11
13,19,10,1
28,22,6,0
122,89,152,18
74,71,101,15
85,44,26,6
104,74,126,23
116,51,81,11
95,82,104,13
106,71,105,19
46,40,5,0
77,88,57,24
33,26,5,0
106,74,73,5
78,69,105,64
41,47,7,1
97,70,99,13
73,77,102,60
37,30,10,2
27,21,9,3
78,83,106,80
45,37,12,0
37,29,13,2
123,83,42,5
99,58,130,39
111,91,89,13
39,29,12,1
37,31,10,0
99,52,32,0
45,34,15,5
40,34,13,2
31,28,4,3
96,71,50,4
102,86,72,8
65,50,64,3
110,87,106,17
100,75,71,7
41,37,8,0
82,96,90,89
105,75,67,15
45,35,11,0
29,22,14,1
85,69,61,6
112,71,131,24
100,80,116,10
115,83,134,19
104,73,122,15
76,80,70,38
105,75,110,20
99,73,110,14
106,72,91,11
101,73,118,20
96,64,77,10
102,69,90,24
46,24,13,0
41,37,13,0
45,32,8,0
27,19,10,0
98,70,72,4
45,43,5,0
97,44,16,2
79,84,65,35
40,34,10,2
41,33,8,0
90,74,111,70
111,79,120,14
57,34,11,1
29,30,4,2
32,25,7,2
37,29,11,8
83,71,80,51
59,33,12,0
12,13,0,0
107,110,151,30
78,80,96,42
32,23,8,2
43,29,10,4
32,25,6,2
50,29,8,0
96,84,77,4
93,46,27,4
45,40,7,2
37,34,9,4
100,70,68,5
21,22,10,4
95,42,16,0
83,59,51,6
96,74,77,0
37,32,6,6
103,68,90,8
100,36,129,31
79,91,132,113
103,74,98,19
91,80,98,8
34,32,4,0
89,61,33,4
98,75,115,18
51,31,13,0
115,96,151,19
73,75,107,94
34,30,9,0
44,38,8,2
38,26,8,1
32,33,2,0
41,34,10,0
37,23,20,3
75,36,13,0
87,42,23,2
37,22,9,2
29,19,5,2
97,70,108,7
90,68,78,7
109,82,90,16
40,34,16,0
95,77,77,5
104,66,101,10
44,35,11,1
15,14,9,3
47,36,7,0
37,25,7,4
55,40,11,0
41,27,17,5
33,28,7,3
94,75,74,11
110,77,113,13
93,80,59,12
102,83,61,9
108,69,119,9
102,77,106,10
46,38,7,3
52,42,45,8
86,71,46,20
52,37,8,1
35,27,7,0
82,88,73,42
37,31,15,1
39,31,8,1
48,44,10,0
16,16,10,0
96,69,68,10
48,23,17,0
41,40,8,0
100,72,71,9
106,80,97,20
117,57,125,20
39,32,12,3
46,30,22,3
32,30,3,1
108,81,108,15
39,31,12,0
37,35,7,0
106,71,89,19
41,40,8,3
124,85,116,25
28,34,6,4
104,66,83,19
32,30,5,0
34,8,21,1
33,27,9,3
50,36,7,0
94,75,70,11
101,86,102,12
39,40,2,0
45,34,15,0
117,76,157,21
102,69,78,9
117,94,139,32
38,27,9,1
115,84,108,19
99,65,69,5
110,88,125,24
120,70,122,16
26,26,10,0
98,80,91,13
35,29,8,5
95,71,71,10
98,65,75,14
47,28,12,1
82,34,14,0
24,18,11,0
77,39,19,5
71,84,95,55
69,39,14,2
31,26,10,0
64,33,9,0
26,21,6,0
102,80,95,14
91,64,50,7
98,72,69,10
101,69,77,2
72,96,99,50
42,36,9,0
86,60,117,73
29,29,3,0
93,71,63,14
109,73,89,12
30,22,7,1
103,79,78,12
40,29,7,1
45,34,7,0
106,77,79,12
34,29,4,0
31,31,9,0
98,77,78,18
104,89,60,6
88,82,99,30
103,76,85,14
113,94,108,11
89,64,89,8
84,78,52,43
31,30,3,0
89,70,84,6
105,88,123,15
48,33,13,0
44,36,5,0
36,22,6,2
114,86,110,12
34,23,10,2
27,29,6,0
97,83,81,12
37,30,11,4
40,31,12,0
106,76,110,18
101,35,23,2
106,64,89,12
42,30,11,2
105,75,117,11
45,26,10,0
52,36,13,0
26,27,5,0
120,86,124,24
99,80,126,14
38,28,9,1
151,138,73,10
109,84,141,12
32,20,12,2
52,31,21,2
56,26,9,3
48,35,18,1
109,77,161,27
31,25,9,0
102,73,100,11
36,34,7,4
103,79,93,7
70,36,15,1
43,37,9,0
98,92,121,8
89,66,83,35
76,57,19,2
13,16,10,0
102,67,60,8
51,31,12,3
44,28,9,1
91,50,27,3
105,78,110,22
102,59,69,6
63,94,91,66
113,82,142,18
107,86,85,10
89,61,67,9
24,24,5,5
36,24,11,0
100,68,76,12
86,85,75,69
97,77,115,14
37,28,8,1
43,33,13,0
104,77,93,11
39,35,8,0
41,39,10,2
77,113,112,65
52,39,11,1
94,65,97,5
62,32,13,3
95,71,74,10
107,86,104,25
50,35,12,1
40,33,8,0
101,78,76,7
105,86,117,8
104,79,80,24
45,26,9,0
79,78,88,57
72,46,43,127
149,252,249,248
37,28,9,0
100,78,72,12
106,92,118,15
109,70,122,13
73,31,13,3
21,29,16,1
99,72,77,10
50,24,7,1
46,35,6,0
105,85,86,12
96,69,79,19
101,44,33,1
31,25,3,0
100,75,87,24
106,78,95,14
107,75,69,12
96,68,79,10
91,42,27,3
81,85,76,55
100,70,54,18
95,67,52,7
31,25,10,2
98,66,105,5
54,41,7,0
117,100,119,26
92,49,14,0
99,82,74,14
55,40,6,3
102,59,80,6
96,90,158,15
36,25,10,0
111,83,109,15
49,37,6,0
64,49,15,0
82,63,79,11
102,92,105,16
45,35,8,0
74,88,96,69
38,36,13,0
36,29,12,0
121,90,150,27
102,109,119,7
97,42,26,3
95,84,108,11
88,83,110,108
83,70,107,56
46,30,6,2
36,29,9,0
122,83,120,31
44,29,8,0
94,113,210,161
117,67,116,22
95,77,75,8
118,94,154,25
55,33,6,1
82,87,69,41
97,81,111,6
103,76,61,13
31,12,9,0
92,69,69,18
44,30,18,1
34,24,3,0
38,29,8,2
41,32,13,2
93,44,25,3
37,44,9,0
37,26,7,0
110,78,115,22
96,62,74,10
45,35,6,2
45,43,58,9
69,53,73,5
31,24,6,0
68,37,13,1
48,30,12,1
38,28,13,0
97,67,69,12
41,41,2,0
31,29,5,0
98,86,85,9
33,25,4,4
120,84,125,29
104,87,85,12
39,18,9,3
32,31,4,1
96,67,77,17
39,26,11,2
86,92,111,67
90,72,72,9
31,28,12,0
98,58,67,14
110,83,106,21
38,34,5,0
94,63,72,10
99,73,74,18
109,74,112,17
36,26,12,3
114,100,81,22
128,115,172,22
109,67,66,7
105,72,143,15
71,78,82,46
85,94,137,126
105,64,131,16
100,75,80,12
89,74,58,5
117,51,34,0
64,40,16,0
112,80,87,17
55,89,78,53
109,62,124,17
44,47,8,2
40,29,13,3
54,40,9,1
37,28,12,0
44,27,10,1
96,81,100,12
42,28,8,0
106,73,112,8
83,66,59,4
112,77,104,23
110,97,129,27
103,85,92,1
110,79,98,18
23,26,11,0
95,60,72,4
52,35,13,0
98,47,38,0
90,82,100,9
108,92,139,21
35,29,9,0
41,32,10,0
109,80,98,14
81,81,65,51
105,64,105,9
32,23,9,0
56,27,9,3
46,32,7,0
105,73,110,15
60,31,9,1
117,60,100,15
100,49,35,2
47,31,6,1
94,64,120,18
57,49,11,0
110,90,126,22
82,74,82,16
35,24,13,3
104,36,24,1
108,42,34,0
45,31,10,1
41,29,22,0
42,24,11,2
82,41,20,1
107,75,108,18
29,20,10,4
47,36,15,0
102,74,93,21
71,37,16,5
95,71,104,14
101,84,131,18
93,70,93,11
54,41,15,0
111,72,83,13
44,33,13,1
32,28,9,0
33,21,16,0
92,83,101,26
45,35,12,0
40,33,14,1
43,46,7,0
105,84,139,24
104,72,100,10
105,83,105,11
31,35,5,7
104,73,97,16
89,53,22,2
39,34,9,2
56,56,10,0
37,36,8,1
61,39,17,1
101,75,94,9
88,66,49,13
34,27,12,0
47,32,8,0
98,59,88,9
97,73,76,6
100,68,63,4
36,36,20,0
103,82,136,18
78,42,21,4
44,29,8,1
96,88,100,11
48,31,6,2
95,71,99,5
24,14,9,1
41,35,12,0
98,87,72,3
97,84,113,8
43,34,6,0
106,69,72,8
42,32,13,0
106,54,128,41
36,33,8,0
99,40,22,0
97,46,39,6
97,80,99,12
40,29,16,2
58,27,18,1
